Domain (6) x Act (5) x Attr (8) = 240 theoretical combinations
Domain                    Act          Attr         Possible   Mapped     Example
MEDICATION_REVIEW         ANALYZE      CHECKUP      [N]        [ - ]      -
MEDICATION_REVIEW         ANALYZE      VISIT        [N]        [ - ]      -
MEDICATION_REVIEW         ANALYZE      PREVENT      [N]        [ - ]      -
MEDICATION_REVIEW         ANALYZE      DIAGNOSE     [N]        [ - ]      -
MEDICATION_REVIEW         ANALYZE      CAUTION      [N]        [ - ]      -
RUMOR_VERIFICATION        ASK          CAUSE        [Y]        [MAPPED]   -
RUMOR_VERIFICATION        ASK          SYMPTOM      [N]        [ - ]      -
RUMOR_VERIFICATION        ASK          BASIC        [Y]        [MAPPED]   -
RUMOR_VERIFICATION        ASK          CHECKUP      [N]        [ - ]      -
RUMOR_VERIFICATION        ASK          VISIT        [N]        [ - ]      -
RUMOR_VERIFICATION        ASK          PREVENT      [Y]        [MAPPED]   -
RUMOR_VERIFICATION        ASK          DIAGNOSE     [Y]        [ - ]      -
RUMOR_VERIFICATION        ASK          CAUTION      [Y]        [ - ]      -
RUMOR_VERIFICATION        CONFIRM      CAUSE        [Y]        [ - ]      熬夜真的致癌吗
RUMOR_VERIFICATION        CONFIRM      SYMPTOM      [N]        [ - ]      -
RUMOR_VERIFICATION        CONFIRM      BASIC        [Y]        [ - ]      -
RUMOR_VERIFICATION        CONFIRM      CHECKUP      [N]        [ - ]      -
RUMOR_VERIFICATION        CONFIRM      VISIT        [N]        [ - ]      -
RUMOR_VERIFICATION        CONFIRM      PREVENT      [Y]        [ - ]      -
RUMOR_VERIFICATION        CONFIRM      DIAGNOSE     [Y]        [ - ]      -
RUMOR_VERIFICATION        CONFIRM      CAUTION      [Y]        [MAPPED]   -
RUMOR_VERIFICATION        SEEK_HELP    CAUSE        [N]        [ - ]      -
RUMOR_VERIFICATION        SEEK_HELP    SYMPTOM      [N]        [ - ]      -
RUMOR_VERIFICATION        SEEK_HELP    BASIC        [N]        [ - ]      -
RUMOR_VERIFICATION        SEEK_HELP    CHECKUP      [N]        [ - ]      -
RUMOR_VERIFICATION        SEEK_HELP    VISIT        [N]        [ - ]      -
RUMOR_VERIFICATION        SEEK_HELP    PREVENT      [N]        [ - ]      -
RUMOR_VERIFICATION        SEEK_HELP    DIAGNOSE     [N]        [ - ]      -
RUMOR_VERIFICATION        SEEK_HELP    CAUTION      [N]        [ - ]      -
RUMOR_VERIFICATION        DEBUNK       CAUSE        [Y]        [MAPPED]   手机辐射致癌吗
RUMOR_VERIFICATION        DEBUNK       SYMPTOM      [N]        [ - ]      -
RUMOR_VERIFICATION        DEBUNK       BASIC        [Y]        [MAPPED]   微波炉加热致癌吗
RUMOR_VERIFICATION        DEBUNK       CHECKUP      [N]        [ - ]      -
RUMOR_VERIFICATION        DEBUNK       VISIT        [N]        [ - ]      -
RUMOR_VERIFICATION        DEBUNK       PREVENT      [Y]        [ - ]      -
RUMOR_VERIFICATION        DEBUNK       DIAGNOSE     [Y]        [ - ]      -
RUMOR_VERIFICATION        DEBUNK       CAUTION      [Y]        [ - ]      -
RUMOR_VERIFICATION        ANALYZE      CAUSE        [N]        [ - ]      -
RUMOR_VERIFICATION        ANALYZE      SYMPTOM      [N]        [ - ]      -
RUMOR_VERIFICATION        ANALYZE      BASIC        [N]        [ - ]      -
RUMOR_VERIFICATION        ANALYZE      CHECKUP      [N]        [ - ]      -
RUMOR_VERIFICATION        ANALYZE      VISIT        [N]        [ - ]      -
RUMOR_VERIFICATION        ANALYZE      PREVENT      [N]        [ - ]      -
RUMOR_VERIFICATION        ANALYZE      DIAGNOSE     [N]        [ - ]      -
RUMOR_VERIFICATION        ANALYZE      CAUTION      [N]        [ - ]      -
REPORT_INTERPRETATION     ASK          CAUSE        [N]        [ - ]      -
REPORT_INTERPRETATION     ASK          SYMPTOM      [N]        [ - ]      -
REPORT_INTERPRETATION     ASK          BASIC        [N]        [ - ]      -
REPORT_INTERPRETATION     ASK          CHECKUP      [N]        [ - ]      -
REPORT_INTERPRETATION     ASK          VISIT        [N]        [ - ]      -
REPORT_INTERPRETATION     ASK          PREVENT      [N]        [ - ]      -
REPORT_INTERPRETATION     ASK          DIAGNOSE     [N]        [ - ]      -
REPORT_INTERPRETATION     ASK          CAUTION      [N]        [ - ]      -
REPORT_INTERPRETATION     CONFIRM      CAUSE        [N]        [ - ]      -
REPORT_INTERPRETATION     CONFIRM      SYMPTOM      [N]        [ - ]      -
REPORT_INTERPRETATION     CONFIRM      BASIC        [Y]        [ - ]      -
REPORT_INTERPRETATION     CONFIRM      CHECKUP      [Y]        [ - ]      -
REPORT_INTERPRETATION     CONFIRM      VISIT        [N]        [ - ]      -
REPORT_INTERPRETATION     CONFIRM      PREVENT      [N]        [ - ]      -
REPORT_INTERPRETATION     CONFIRM      DIAGNOSE     [Y]        [ - ]      这是不是脂肪肝
REPORT_INTERPRETATION     CONFIRM      CAUTION      [Y]        [MAPPED]   -
REPORT_INTERPRETATION     SEEK_HELP    CAUSE        [N]        [ - ]      -
REPORT_INTERPRETATION     SEEK_HELP    SYMPTOM      [N]        [ - ]      -
REPORT_INTERPRETATION     SEEK_HELP    BASIC        [N]        [ - ]      -
REPORT_INTERPRETATION     SEEK_HELP    CHECKUP      [N]        [ - ]      -
REPORT_INTERPRETATION     SEEK_HELP    VISIT        [N]        [ - ]      -
REPORT_INTERPRETATION     SEEK_HELP    PREVENT      [N]        [ - ]      -
REPORT_INTERPRETATION     SEEK_HELP    DIAGNOSE     [N]        [ - ]      -
REPORT_INTERPRETATION     SEEK_HELP    CAUTION      [N]        [ - ]      -
REPORT_INTERPRETATION     DEBUNK       CAUSE        [N]        [ - ]      -
REPORT_INTERPRETATION     DEBUNK       SYMPTOM      [N]        [ - ]      -
REPORT_INTERPRETATION     DEBUNK       BASIC        [N]        [ - ]      -
REPORT_INTERPRETATION     DEBUNK       CHECKUP      [N]        [ - ]      -
REPORT_INTERPRETATION     DEBUNK       VISIT        [N]        [ - ]      -
REPORT_INTERPRETATION     DEBUNK       PREVENT      [N]        [ - ]      -
REPORT_INTERPRETATION     DEBUNK       DIAGNOSE     [N]        [ - ]      -
REPORT_INTERPRETATION     DEBUNK       CAUTION      [N]        [ - ]      -
REPORT_INTERPRETATION     ANALYZE      CAUSE        [N]        [ - ]      -
REPORT_INTERPRETATION     ANALYZE      SYMPTOM      [N]        [ - ]      -
REPORT_INTERPRETATION     ANALYZE      BASIC        [Y]        [ - ]      -
REPORT_INTERPRETATION     ANALYZE      CHECKUP      [Y]        [MAPPED]   还需要做什么检查
REPORT_INTERPRETATION     ANALYZE      VISIT        [N]        [ - ]      -
